context,emotional_conclusion
Ketupat kandangan adalah makanan khas dari daerah Kandangan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Kue itu menyerupai kuncian pintu pada zaman dulu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mageli sangat cocok dijadikan cemilan ataupun lauk makan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Buah ini berwarna keunguan, walaupun sangat kecil buah ini memiliki cita rasa yang manis.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tanggal akad nikah berada direntang tanggal 1-15 perhitungan bulan Arab.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Dalam proses mandi pengantin,kembang dipukul pukulkan ke seluruh badan pengantin.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pihak keluarga pengantin pria harus memberi ayam hidup kepada pihak keluarga pengantin wanita.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di bawah pelaminan pengantin dan di dalam kamar pengantin ada wadah berisi beberapa makanan dan minuman.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Telapak kaki pengantin diolesi air.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika pengantin menuju ke pelaminan, langkah kaki pertama diyakini sangat penting.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pada malam kedua sesudah resepsi, banyak tamu yang datang ke kediaman pengantin.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Hari ketiga setelah resepsi,diadakan acara untuk melepas kepergian pengantin wanita dari keluarganya untuk mengikuti suaminya.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah semua acara selesai, pihak keluarga kedua pengantin mengantarkan anak-anaknya ke rumah yang mereka akan tinggali.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Busana pengantin pria pada pernikahan zaman dulu hanya memakai celana.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pada pakaian adat Baamar Galung Pancar Matahari, pengantin pria menggunakan tapih serta hiasan kepala yang senada warnanya.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pengantin wanita itu menggunakan pakaian bagajah gamuling baular lulut untuk resepsi pernikahnnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Baju adat Banjar yang dikenakan pengantin wanita memiliki warna yang sangat sakral.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banyak tamu undangan yang datang dengan memakai kain khas Kalimantan Selatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah selesai makan, tamu undangan naik ke pelaminan.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Orang-orang yang tinggal di kompleks perumahan cenderung memilih tempat resepsi di gedung atau di lapangan luas.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hadiah pernikahan itu sangat banyak dan hampir memenuhi seluruh rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banyak tamu undangan yang memberi hadiah mahal kepada pengantin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ariska merupakan anak bungsu dari keluarga tersebut.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Afif adalah anak laki-laki satu-satunya dan sangat dibanggakan oleh kedua orang tuanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga bibi sangat diperhatikan oleh kakek dan nenek dibandingkan keluarga kami.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada malam hari raya selalu diadakan acara makan bersama.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Wanita itu baru saja turun dari bus luar kota sambil memegang peta ditangannya, ia tampak kebingungan sehingga Arya menghampiri wanita tersebut.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakak menghampiri anak kecil yang berjualan kerupuk dipinggir jalan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sebelum ibu memakan kuenya ia terlebih dahulu menawarkan kue tersebut kepada orang disekitarnya.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Tia selalu memberi kue kepada gurunya di sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Yudi Suriansyah, teman main ku dihalaman rumah mempunyai nama belakang yang sama dengan pak Udin Suriansyah yang tinggal di gang sebelah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yanti sangat dihormati dilingkungan rumahnya karna ia mempunyai nama Gusti Nur Yanti.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu hamil tidak bisa sembarangan minta makanan atau minuman punya orang.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Setelah 7 bulan usia kandungan, dilakukan acara mandi-mandi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setelah melahirkan ibu-ibu harus mengkonsumsi sayur bening dan ikan gabus.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu yang baru melahirkan dilarang terkena suhu tertentu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bayi yang baru lahir dibacakan Surah Yasin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agar balita nanti badannya tegap maka ia harus didudukkan dalam ayunan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak patut diberitahu bahwa tidak baik menghabiskan makanan punya teman atau orang lain.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Ali selalu menyapa para tetangga ketika sepulang sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aldi tampil di atas panggung dengan sangat percaya diri.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika sudah mengalami masa puberitas, Wati diharuskan mencuci pakaian dalam sendiri.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Wajah Siti terlihat ceria kembali setelah ia menceritakan permasalahannya kepada orang tuanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat kakek sakrataul maut, kakak menyiapkan sajadah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat kakek telah meninggal, Ibu diminta menyiapkan air asam jawa.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jenazah hidup kembali ketika dimandikan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Acil membuat serabi didapur untuk prosesi pengurusan jenazah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah diberi piring dan mangkuk oleh keluarga mayat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banyak laki-laki yang memakai sarung dan peci ketika melayat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Harta warisan dari mayyit tidak boleh dibagi sampai kurun waktu tertentu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek dari pihak ayah kami mendapat harta warisan dari sepeninggal ayah kami.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Memasuki bulan Rabiul Awal, pak RT mengadakan rapat bersama tokoh agama dan masyarakat sekitar.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Beberapa warga kampung menyumbangkan hasil taninya untuk acara Maulid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sebelum acara Maulid dimulai pak RT berkeliling di lokasi acara.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Syair Maulid yang dibawakaan tidak terbatas jumlahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banyak orang yang meletakkan air mineral yang terbuka tutupnya dan diletakkan didepan penceramah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banyak makanan ringan dan uang digantung tepat di atas kepala para warga yang hadir.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Ketika penceramah datang, banyak anak-anak yang meghampiri beliau untuk bersalaman.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek menanam tanaman tersebut sambil berjalan mundur.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mamaradak adalah sesuatu yang dilakukan pada saat petani mulai menanam benih padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Baugingan atau baarian adalah kegiatan gotong royong para petani menanami padi untuk petani lainnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah panen padi pertama berhasil, dirumah diadakan acara bekelarat.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Baliu adalah tradisi memanen ikan di sungai yang dilakukan secara bersama-sama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di Barabai orang menggunakan hancau untuk mencari ikan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Beberapa masyarakat Banjar masih menganut tradisi menangkap ikan di sungai dengan menggunakan tangannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Malunta adalah tradisi menangkap ikan di sungai dengan menggunakan jaring.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ketika berbelanja di Pasar Terapung penjual dan pembeli melakukan akad jual beli.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada jual beli intan harus ada budaya balamahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Alat musik ini dimainkan dengan cara dipetik dan biasanya menjadi pengiring dalam tari Japin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Alat musik Kuriding dimainkan dengan cara yang unik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kesenian madihin selalu diiringi dengan alat musik yang khas.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keindahan Kotabaru dan kerinduan seseorang kepada kekasihnya dituangkan dalam sebuah lagu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lagu Ampat si Ampat Lima sangat cocok dideengarkan oleh orang yang belum menikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Perjuangan mencari nafkah/rezeki digambarkan dalam sebuah lagu Banjar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pada Tari Baksa Kembang para penari memakai mahkota di atas kepalanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Penampilan Mamanda banyak membuat orang terpukau.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tari Bagandut ditampilkan oleh penari wanita yang bertubuh gendut.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Para penari Baksa Kembang memberikan rangkaian bunga kepada tamu kehormatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek menangisi kematian nenek selama 1 minggu berturut-turut.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sebelum berbicara kepada orang ada baiknya dipikir lebih dahulu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Disekolah kami diadakan lomba Balogo.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kelompok Selvi bertugas menjadi penyerang sedangkan kelompok Dinda bertugas menjadi penjaga.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak panah yang digunakan dalam permainan Basusumpitan tidak berbahaya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nabila dan Nanda bermain badaku.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kami bermain Cuk-cuk bimbi disela istriahat sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Amin melihat Nanang sedang mawarung di gang sebelah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sambil menunggu anaknya bersekolah, ibu Ana berjualan makanan sehat didepan sekolah anaknya.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Banyak siswa SMP di Banjarbaru yang gemar pulang sekolah dengan menaiki angkot.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Supir angkot bercerita bahwa pada masa sekarang jarang sekali orang naik angkot.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ada beberapa orang masih memilih tinggal di rumah adat Banjar dan mereka masih menjaga keaslian rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setiap malam Rabu akhir di bulan Shafar orang-orang kampung berkeliling kampung.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banyak orang yang datang pada Haul Abah Guru Sekumpul.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setiap bulan ia harus memberi makan buaya putih di sungai.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Ayah mencari keberadaan adik di hutan sambil bagandang nyiru.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Usia kandungan ibu Ani sudah tujuh bulan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Jenis mobil Fortuner, Pajero, BMW serta mobil yang bermerk lainnya adalah jenis mobil yang lazim dipakai orang Kalimantan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Racikan kecap asin dan limau kuit dapat meredakan sakit.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Wanita harus banyak makan kemangi.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Nenek memberi nasehat kepada cucunya agar jangan menjadi orang yang pelit.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu memintaku untuk pergi membeli sarapan pagi.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Ibu membuatkan kami bekal untuk sarapan pagi di sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Jika berkunjung ke Kota Makassar, kurang lengkap rasanya jika tidak berwisata kuliner.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Selain coto makassar, di warung Daeng Naba tersedia menu wajib yang juga harus anda cicipi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jika anda pencinta makanan yang pedas.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Aku tak begitu menyukainya karena rasanya yang pahit, meski ini termasuk salah satu sayur favorit di keluarga kami.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kurang afdol rasanya jika berkunjung di Kabupaten Sidrap namun tidak singgah di Lawawoi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek Dori menjual panganan pagi khas Makassar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat berkunjung ke Kabupaten Enrekang, kami menyempatkan singgah untuk membeli jajanan.",Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Di sekitar pelabuhan Kota Makassar terlihat sangat banyak penjual berseliweran.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di malam hari, kami sekeluarga sering menyantap minuman hangat bersama di teras rumah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Makanan favorit saya adalah kapurung.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Ani sangat senang membantu neneknya memasak di dapur dengan perlengkapan tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek memanen aren yang akan dibuat menjadi gula merah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aku selalu menyempatkan diri berwisata kuliner setiap berkunjung ke Sulawesi Selatan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kari ayamnya rasanya lezat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Akhirnya Amal dan Indah akan segera melangsungkan pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mappettuada menandai bahwa Amal dan Indah kini telah resmi bertunangan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aku terlibat dalam rangkaian acara menjelang pernikahan Amal dan Indah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saya turut mengantar Amal menuju kediaman Indah untuk melaksanakan akad nikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ambo Ali adalah tokoh agama yang mashur di desaku.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah akad dan resepsi pernikahan di kediaman Indah, kini kami mengantar Indah menuju kediaman Amal.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ranti dan Ikram menuju makam sehari setalah resepsi mereka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kami sedang bersiap-siap mengantar pengantin baru ke rumah mertuanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ikram terlihat semakin gagah mengenakan baju nikah adat Bugis.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah memilah aksesoris kepala, pilihan Ikram jatuh pada songkok yang terbuat dari pelepah daun lontar.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rara menuju butik di pusat kota Pare-pare untuk mencoba baju resepsinya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rara memakai baju bodo.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di kampungku di Bacukiki, jika menerima undangan pernikahan maka wajib hukumnya bagi kita untuk hadir.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sebagai adik yang akan mendahului kakak kandung perempuan untuk menikah, saya harus melalui sebuah proses adat.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Erang-erang Dian dibawakan oleh beberapa orang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sebagai keturunan asli suku makassar setiap dari kami diberikan nama lain diluar nama asli kami yang disebut dengan paddaengeng.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tahun lalu Andi Anto menikahi pujaan hatinya yang bernama Andi Tenri.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mitha mempersiapkan ritual satu bulan kehamilan kakaknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Selain ke puskesmas, Ima juga melakukan pemeriksaan kandungan secara tradisional.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Diusia tujuh bulan kehamilan kak reni, ibu memanggil sanro pammana.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Agar tidak merasakan sakit perut yang lama menjelang persalinan, Niar diberikan makanan pantangan.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Rian membeli kelapa untuk membasahi gunting yang akan digunakan pada acara aqiqah anaknya besok.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Marni dan burhan menyediakan bibit tanaman untuk ditanam setelah anaknya lahir.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Burhan menggantung sarung di kolong pintu kamar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tepat pukul 02.00 dini hari tadi adalah momen yang sangat berat bagi kami.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dalam suatu kelompok kepercayaan tertentu di daerahku terdapat sebuah prinsip yang unik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tante Ani menemani Ibu melayat ke rumah Pak Dani.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di kediaman almarhum Pak Dani, aku menyaksikan ada banyak bapak bapak berkumpul.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buras adalah panganan favorit pengganti nasi yang menurut tradisi daerah kami harus selalu tersedia di setiap hari raya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Saat pelaksanaan acara maulid di kampung kami, masjid terlihat begitu ramai dan semarak.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pada acara maulid, ramai jamaah memperebutkan sokko'.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setelah Sholat Idul Fitri kami sekeluarga berkumpul di rumah nenek.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mayoritas warga kampungku di Bone bekerja sebagai petani.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Aku sangat suka menyaksikan tradisi yang dilakukan sebelum turun kesawah untuk menanam padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Acara pesta panen padi di daerah kami sangatlah meriah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah mengajakku menyaksikan perlombaan yang selalu dilaksanakan setelah pesta panen padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayam-ayam milik ayahku kini memasuki fase siap untuk bertelur.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Waktu panen ikan milik kakekku telah tiba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kolam ikan milik kakek setelah dipanen dan dibersihkan kini siap untuk diisi kembali.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mapasilaga Tedong adalah tradisi unik para leluhur.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anti suka sekali mendengar petikan alat musik tradisional Bugis.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kulit sapi itu akan dijadikan alat musik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Tak hanya anak muda, para orang tua juga memainkan alat musik khas Kabupaten Enrekang ini.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu selalu menyanyikan lagu pengantar tidur untuk adik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Salah satu pilihan lagu tradisional yang dilombakan adalah tentang rasa syukur hasil bumi yang melimpah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rizal dan Ratna menyanyikan lagu tentang jodoh di hari pernikahan mereka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sanggar Pajjoge menampilkan tarian ritual sebagai ungkapan rasa syukur pada bumi dan langit.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mina melakukan gerakan seolah menenun kain dalam tariannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bebunyian bambu dalam pentas tari semalam adalah penampilan tari yang paling meriah dan seru.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lina dan teman-temannya menyambut tamu kehormatan yang akan datang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Permainan ini mirip dengan sepak takraw.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
